,Unnamed: 0,Unnamed: 0.1,글쎄요,보고싶어요,참여인원,평점,title,y,런타임,장르,개봉일,등급,개봉년도,개봉월
0,0,0,11,54,30,9.6,10분 (10 Minutes),0,93,['드라마'],['2014.04.24'],12세,2014,4
1,1,1,0,0,277,8.81,10억 (A Million),1,114,"['모험', '스릴러']",['2009.08.06'],15세,2009,8
2,2,2,4,10,19,8.79,125 전승철 (125 JEON Seung-Chul),0,21,['드라마'],[],,0,0
3,3,3,0,0,63,7.6,1724 기방난동사건,0,103,"['코미디', '액션', '모험']",['2008.12.03'],15세,2008,12
4,4,4,18,153,32,9.09,1789 바스티유의 연인들 (1789 Les Amants De La Bastille),0,129,"['공연실황', '뮤지컬']",['2014.09.18'],전체,2014,9
5,5,5,41,173,38,9.29,18 : 우리들의 성장 느와르 (18 - Eighteen Noir),0,104,"['느와르', '드라마']",['2014.08.14'],청소년,2014,8
6,6,6,0,0,396,9.07,19 (Nineteen),0,103,['드라마'],['2009.11.12'],12세,2009,11
7,7,7,2453,13877,1231,7.53,1987 (1987:When the Day Comes),1,129,['드라마'],['2017.12.27'],15세,2017,12
8,8,8,0,0,32,8.19,"1999, 면회 (Sunshine Boys)",0,85,['드라마'],['2013.02.21'],15세,2013,2
9,9,9,127,831,57,8.4,1급기밀 (The Discloser),0,101,['드라마'],['2018.01.24'],12세,2018,1
10,10,10,0,0,299,8.45,1번가의 기적 (Miracle On 1st Street),1,113,"['코미디', '드라마']",['2007.02.14'],15세,2007,2
11,11,11,32,230,271,8.49,2009 G-DRAGON 콘서트 SHINE A LIGHT (G-DRAGON LIVE CONDERT SHINE A LIGHT),0,101,['공연실황'],[],12세,0,0
12,12,12,0,0,23,7.74,2009 로스트 메모리즈 (2009 - Lost Memories),0,134,"['SF', '액션']",['2002.02.01'],12세,2002,2
13,13,13,0,0,212,9.63,2010 빅뱅 라이브 콘서트 BIGSHOW,0,90,['공연실황'],['2011.02.02'],전체,2011,2
14,14,14,0,0,1577,5.89,26년 (26Years),1,135,['액션'],['2012.11.29'],15세,2012,11
15,15,15,0,0,139,8.77,2AM SHOW,0,70,[''],['2010.12.09'],전체,2010,12
16,16,16,0,0,12,10,3xFTM (3xFTM),0,115,['다큐멘터리'],['2009.06.04'],15세,2009,6
17,17,17,13,26,17,5.47,3분 파트너,0,89,['멜로/로맨스'],['2017.09.15'],청소년,2017,9
18,18,18,0,0,447,9.73,48미터 (48M),0,97,['드라마'],['2013.07.04'],15세,2013,7
19,19,19,2,42,13,8.77,4교시 체육시간 (School Off),0,16,['드라마'],[],전체,0,0
20,20,20,0,0,221,8.77,4교시 추리영역,0,86,"['공포', '스릴러']",['2009.08.12'],15세,2009,8
21,21,21,72,1192,123,9.54,4등 (4th Place),0,116,['드라마'],['2016.04.13'],15세,2016,4
22,22,22,0,0,18,8.78,4요일,0,80,"['공포', '스릴러']",['2008.12.11'],청소년,2008,12
23,23,23,0,0,63,8.33,577 프로젝트 (Project 577),0,99,"['코미디', '드라마']",['2012.08.30'],15세,2012,8
24,24,24,0,0,256,6.73,5백만불의 사나이 (A Millionaire on the Run),0,107,['코미디'],['2012.07.19'],15세,2012,7
25,25,25,30,332,261,9.29,60만번의 트라이 (60万回のトライ),1,106,['다큐멘터리'],['2014.09.18'],12세,2014,9
26,26,26,0,0,177,8.98,6년째 연애중 (Lovers Of 6 Years),0,112,"['드라마', '멜로/로맨스']",['2008.02.05'],15세,2008,2
27,27,27,0,0,153,8.75,6월의 일기 (Diary Of June),0,105,"['범죄', '스릴러']",['2005.12.01'],15세,2005,12
28,28,28,0,0,1856,6.56,7광구 (SECTOR 7),0,112,"['SF', '액션', '모험']",['2011.08.04'],15세,2011,8
29,29,29,0,0,269,8.52,7급 공무원 (7th Grade Civil Servant),1,112,"['액션', '코미디']",['2009.04.22'],12세,2009,4
30,30,30,30,823,55,8.31,7년-그들이 없는 언론 (Seven Years-Journalism without Journalist),0,110,['다큐멘터리'],['2017.01.12'],12세,2017,1
31,31,31,0,0,774,9.53,7번방의 선물 (Miracle in Cell No.7),1,127,['코미디'],['2013.01.23'],15세,2013,1
32,32,32,0,0,17,10,7월 32일,0,96,['드라마'],['2010.04.22'],청소년,2010,4
33,33,33,538,12977,321,9.03,7호실 (Room No.7),0,100,['블랙코미디'],['2017.11.15'],15세,2017,11
34,34,34,108,696,23,8.65,9월이 지나면 (When September Ends),0,24,['드라마'],[],,0,0
35,35,35,0,0,145,6.07,B형 남자친구 (My Boyfriend Is Type-B),1,96,"['멜로/로맨스', '코미디']",['2005.02.03'],12세,2005,2
36,36,36,2,9,12,8.75,D-24,0,7,"['SF', '드라마']",[],,0,0
37,37,37,0,0,10,5.5,"DMZ, 비무장지대 (Demilitarized Zone)",0,100,"['전쟁', '드라마']",['2004.11.26'],청소년,2004,11
38,38,38,0,0,226,9.35,GP506,0,120,['미스터리'],['2008.04.03'],청소년,2008,4
